qp_code,job_role,nsqf_level,sector,duration_hours,eligibility,self_employment_possible,mobility_constraint_safe
HSS/Q1015,General Duty Assistant,3,Healthcare,400,10th Pass,False,False
HSS/Q1016,Home Care Assistant,2,Healthcare,200,None,True,True
HSS/Q1017,Caregiver for Elderly,1,Healthcare,150,None,True,True
HSS/Q1018,Hospital Waste Management,1,Healthcare,100,None,False,False
RET/Q1015,Retail Sales Associate,2,Retail,200,None,False,False
RET/Q1016,Store Manager Assistant,3,Retail,300,10th Pass,False,False
RET/Q1017,Kirana Store Owner (Self-Employment),4,Retail,400,None,True,True
AGR/Q1015,Organic Farming Assistant,2,Agriculture,250,None,True,True
AGR/Q1016,Dairy Farm Assistant,2,Agriculture,200,None,True,True
AGR/Q1017,Food Processing Operator,3,Agriculture,300,8th Pass,True,True
AGR/Q1018,Mushroom Cultivation Specialist,3,Agriculture,200,None,True,True
CON/Q1015,Masonry Assistant,1,Construction,150,None,False,False
CON/Q1016,Plumbing Assistant,2,Construction,200,None,True,True
CON/Q1017,Electrician Assistant,2,Construction,250,10th Pass,True,True
BWS/Q1015,Beauty Therapist,3,Beauty,300,10th Pass,True,True
BWS/Q1016,Hair Stylist,2,Beauty,200,None,True,True
BWS/Q1017,Makeup Artist,3,Beauty,250,None,True,True
ITE/Q1015,Data Entry Operator,3,IT/ITES,300,10th Pass,False,True
ITE/Q1016,Mobile Phone Repair Technician,3,Electronics,300,10th Pass,True,True
TEX/Q1015,Tailoring Operator,2,Textile,200,None,True,True
TEX/Q1016,Embroidery Specialist,3,Textile,300,None,True,True
TEX/Q1017,Handloom Weaver,2,Textile,250,None,True,True
SEC/Q1015,Security Guard,1,Security,150,8th Pass,False,False
SEC/Q1016,Housekeeping Specialist,1,Hospitality,100,None,True,True
HOS/Q1015,Cook / Chef Assistant,2,Hospitality,200,None,True,True
HOS/Q1016,Food Service Worker,1,Hospitality,100,None,False,False
AUT/Q1015,Vehicle Cleaning & Polishing,1,Automotive,100,None,True,True
AUT/Q1016,Two-Wheeler Repair Assistant,2,Automotive,250,10th Pass,True,True
ELE/Q1015,Solar Panel Installer Assistant,2,Power,200,10th Pass,True,False
LOG/Q1015,Warehouse Assistant,1,Logistics,150,None,False,False
